Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,src\CleanArchitecture.BlogManagement.Application\CleanArchitecture.BlogManagement.Application.csproj,File,src\CleanArchitecture.BlogManagement.Application\CleanArchitecture.BlogManagement.Application.csproj,,,Microsoft.Extensions.Logging.Abstractions 8.0.0,,,,,"Microsoft.Extensions.Logging.Abstractions, 8.0.0  Recommendation:  Remove Microsoft.Extensions.Logging.Abstractions, and replace with new package Microsoft.Extensions.Logging.Abstractions 10.0.2"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,src\CleanArchitecture.BlogManagement.Application\CleanArchitecture.BlogManagement.Application.csproj,File,src\CleanArchitecture.BlogManagement.Application\CleanArchitecture.BlogManagement.Application.csproj,,,Newtonsoft.Json 13.0.3,,,,,"Newtonsoft.Json, 13.0.3  Recommendation:  Remove Newtonsoft.Json, and replace with new package Newtonsoft.Json 13.0.4"
NuGet.0005,NuGet package is deprecated,Active,Optional,1,src\CleanArchitecture.BlogManagement.Application\CleanArchitecture.BlogManagement.Application.csproj,File,src\CleanArchitecture.BlogManagement.Application\CleanArchitecture.BlogManagement.Application.csproj,,,AutoMapper.Extensions.Microsoft.DependencyInjection 12.0.1,,,,,"AutoMapper.Extensions.Microsoft.DependencyInjection, 12.0.1  Recommendation:  The functionality of this package is now included directly in AutoMapper. Remove AutoMapper.Extensions.Microsoft.DependencyInjection, and replace with new package AutoMapper.Extensions.Microsoft.DependencyInjection, 12.0.1"
NuGet.0005,NuGet package is deprecated,Active,Optional,1,src\CleanArchitecture.BlogManagement.Application\CleanArchitecture.BlogManagement.Application.csproj,File,src\CleanArchitecture.BlogManagement.Application\CleanArchitecture.BlogManagement.Application.csproj,,,FluentValidation.AspNetCore 11.3.0,,,,,"FluentValidation.AspNetCore, 11.3.0  Recommendation:  Should be replaced. Remove FluentValidation.AspNetCore, and replace with new package FluentValidation.AspNetCore, 11.3.1"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,src\CleanArchitecture.BlogManagement.Application\CleanArchitecture.BlogManagement.Application.csproj,File,src\CleanArchitecture.BlogManagement.Application\CleanArchitecture.BlogManagement.Application.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\CleanArchitecture.BlogManagement.Application\CleanArchitecture.BlogManagement.Application.csproj,File,src\CleanArchitecture.BlogManagement.Application\Common\Exceptions\GlobalExceptionHandler.cs,8,115,T:Microsoft.AspNetCore.Diagnostics.IExceptionHandler,,,,,IExceptionHandler
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\CleanArchitecture.BlogManagement.Application\CleanArchitecture.BlogManagement.Application.csproj,File,src\CleanArchitecture.BlogManagement.Application\Common\CustomMemoryCacheOptions.cs,7,8,M:System.TimeSpan.FromHours(System.Double),,,,,return cacheEntry              .SetSlidingExpiration(TimeSpan.FromHours(2))              .SetAbsoluteExpiration(TimeSpan.FromHours(24))              .SetPriority(CacheItemPriority.Normal)              .SetSize(1024);
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\CleanArchitecture.BlogManagement.Application\CleanArchitecture.BlogManagement.Application.csproj,File,src\CleanArchitecture.BlogManagement.Application\Common\CustomMemoryCacheOptions.cs,7,8,M:System.TimeSpan.FromHours(System.Double),,,,,return cacheEntry              .SetSlidingExpiration(TimeSpan.FromHours(2))              .SetAbsoluteExpiration(TimeSpan.FromHours(24))              .SetPriority(CacheItemPriority.Normal)              .SetSize(1024);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\CleanArchitecture.BlogManagement.Application\CleanArchitecture.BlogManagement.Application.csproj,File,src\CleanArchitecture.BlogManagement.Application\DependencyInjection.cs,15,8,T:Microsoft.Extensions.DependencyInjection.ServiceCollectionExtensions,,,,,"services.AddMediatR(cfg =>          {              cfg.RegisterServicesFromAssemblies(Assembly.GetExecutingAssembly());              cfg.AddBehavior(typeof(IPipelineBehavior<,>), typeof(RequestLoggingBehaviour<,>));              cfg.AddBehavior(typeof(IPipelineBehavior<,>), typeof(AuthorizationBehaviour<,>));              cfg.AddBehavior(typeof(IPipelineBehavior<,>), typeof(ValidationBehaviour<,>));          });"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\CleanArchitecture.BlogManagement.Application\CleanArchitecture.BlogManagement.Application.csproj,File,src\CleanArchitecture.BlogManagement.Application\DependencyInjection.cs,11,8,T:Microsoft.Extensions.DependencyInjection.ServiceCollectionExtensions,,,,,services.AddAutoMapper(Assembly.GetExecutingAssembly());
